dam_name,county,state,latitude,longitude
Helemano 6 Reservoir,Honolulu,HI,21.552777,-158.06563500000001
Horner Reservoir,Maui,HI,20.925222,-156.648795
Hukiwai Reservoir,Kauai,HI,21.905734,-159.55911799999998
Ipuolono Reservoir,Kauai,HI,21.920425,-159.536125
Kahoma Reservoir,Maui,HI,20.901881,-156.640616
Kalihiwai Reservoir,Kauai,HI,22.187054,-159.432378
Kaloko Reservoir,Kauai,HI,22.178132,-159.379767
Kaneha Reservoir,Kauai,HI,22.131118,-159.371343
Kapa Reservoir,Kauai,HI,21.914944000000002,-159.572544
Kauai Lagoons,Kauai,HI,21.957628,-159.346259
Kaupale Reservoir,Kauai,HI,21.904992,-159.495728
Keaiwa Reservoir,Hawaii,HI,19.248499,-155.499877
Kehalani Offsite Retention Basin,Maui,HI,20.858112,-156.496687
Kemoo 5 Reservoir,Honolulu,HI,21.556074,-158.103653
Kepani Reservoir,Kauai,HI,22.002352,-159.617526
Kitano Reservoir,Kauai,HI,22.028432000000002,-159.673562
Ku Tree Reservoir,Honolulu,HI,21.497567,-157.981111
Kumano Reservoir,Kauai,HI,21.900292999999998,-159.497421
Lower Kapahi Reservoir,Kauai,HI,22.101591,-159.35281899999998
Mana Reservoir,Kauai,HI,22.031933,-159.758903
Manuhonuhonu Reservoir,Kauai,HI,21.894485,-159.48032800000001
Mau Reservoir,Kauai,HI,21.927187,-159.530972
Mimino Reservoir,Kauai,HI,22.114864,-159.361788
Nuuanu Dam No. 4,Honolulu,HI,21.352632999999997,-157.80780900000002
Nuuanu Reservoir No. 1,Honolulu,HI,21.339684,-157.837398
Oahu Reservoir 155,Honolulu,HI,21.404622,-158.059328
Okinawa Reservoir,Kauai,HI,22.006322,-159.365055
Omao Reservoir,Kauai,HI,21.921116,-159.48321299999998
Opaeula 15 Reservoir,Honolulu,HI,21.575369,-158.053402
Papaaea Reservoir,Maui,HI,20.883114000000003,-156.206434
Pia Mill Reservoir,Kauai,HI,21.920673999999998,-159.471302
Piwai Reservoir,Kauai,HI,21.932752,-159.490397
Twin Reservoirs,Kauai,HI,22.082227,-159.348859
Ukumehame Reservoirs,Maui,HI,20.809901999999997,-156.587062
Upper Helemano Reservoir,Honolulu,HI,21.52673,-158.02901699999998
Wahiawa Dam,Honolulu,HI,21.497654999999998,-158.049151
Waiakalua Reservoir,Kauai,HI,22.199814,-159.373854
Waikoloa Reservoir No. 1,Hawaii,HI,20.038120000000003,-155.67246799999998
Waikoloa Reservoir No. 2,Hawaii,HI,20.038917,-155.675203
Wailuku Water Reservoir 10,Maui,HI,20.865752,-156.512793
Autumn Lake Dam,Brown,IN,39.321943,-86.27111
Autumn Winds Dam,Vanderburgh,IN,38.058333000000005,-87.56722099999999
Beechwood Lake Dam,Greene,IN,39.084721,-86.88110999999999
Bittersweet Lake Dam,Brown,IN,39.321943,-86.169443
Bittner Lake Dam,Vanderburgh,IN,38.084721,-87.61
Busseron Dam No. L-1,Sullivan,IN,39.101665999999994,-87.42361
Crawfordsville Community Sportsmens Club Lake Dam,Montgomery,IN,40.033888,-86.96583299999999
Crosstie Lake Dam,Ripley,IN,39.288055,-85.23722099999999
Daisy Lake Dam,Vigo,IN,39.508333,-87.440555
Delaney Creek Dam No. 1,Washington,IN,38.694721,-86.067777
Delaney Creek Dam No. 14,Washington,IN,38.694721,-86.01694300000001
Delaney Creek Dam No. 16,Washington,IN,38.728609999999996,-86.067777
Delaney Creek Dam No. 2,Washington,IN,38.677777,-86.050833
Delaney Creek Dam No. 3,Washington,IN,38.694721,-86.067777
Dugan Lake Dam,Owen,IN,39.321943,-86.7625
Falcon Crest Lake Dam,Morgan,IN,39.474443,-86.491388
Forest Lake Dam,Hendricks,IN,39.755,-86.408333
Hart Lake Dam,Morgan,IN,39.559166,-86.440555
Hawthorn Park Dam,Vigo,IN,39.491388,-87.321943
Hillview Lake Dam,Jackson,IN,38.813333,-86.067777
Klingman Lake Dam,Scott,IN,38.643888000000004,-85.61
Kokomo Waterworks Off Channel Dam,Howard,IN,40.491388,-86.0
La Lumiere Dam,Laporte,IN,41.711665999999994,-86.71166600000001
Lake Deturk Dam,Morgan,IN,39.440554999999996,-86.406666
Lake Geneva Dam,Switzerland,IN,38.864166,-85.033888
Lake George Dam,Steuben,IN,41.7625,-85.0
Lake Haven Dam,Henry,IN,39.864166,-85.491388
